# file...... results_d2a3fd4f.csv
# date...... Thu Nov  6 17:29:24 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 4
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:hvac_load,house:air_temperature,house:outdoor_temperature,meter1:measured_real_energy,meter1:measured_real_power,inverter1:P_Out,house_solar:P_Out,main_wh:power.real,main_wh:tank_setpoint,main_wh:water_demand,washing_machine:base_power,dishwasher:base_power,oven:base_power,refrigerator:base_power,indoor_lights:power.real,exterior_lights:power.real, house:cooling_demand, house:heating_demand
2024-07-01 00:00:00 PST,+4.06198,+0.0529616,+70.6944,+52.702,+0,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:01:00 PST,+4.06198,+0.0529616,+70.566,+52.702,+64.9828,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:02:00 PST,+4.06198,+0.0529616,+70.4664,+52.702,+129.966,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:03:00 PST,+4.06198,+0.0529616,+70.3883,+52.702,+194.948,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:04:00 PST,+4.06198,+0.0529616,+70.3262,+52.702,+259.931,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:05:00 PST,+4.06198,+0.0529616,+70.2761,+52.702,+324.914,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:06:00 PST,+4.06198,+0.0529616,+70.2349,+52.702,+389.897,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:07:00 PST,+4.06198,+0.0529616,+70.2005,+52.702,+454.879,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:08:00 PST,+4.06198,+0.0529616,+70.171,+52.702,+519.862,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:09:00 PST,+4.06198,+0.0529616,+70.1452,+52.702,+584.845,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:10:00 PST,+4.06198,+0.0529616,+70.1223,+52.702,+649.828,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:11:00 PST,+4.06198,+0.0529616,+70.1014,+52.702,+714.811,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:12:00 PST,+4.06198,+0.0529616,+70.0822,+52.702,+779.793,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:13:00 PST,+4.06198,+0.0529616,+70.0641,+52.702,+844.776,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:14:00 PST,+4.06198,+0.0529616,+70.0469,+52.702,+909.759,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:15:00 PST,+4.06198,+0.0529616,+70.0304,+52.702,+974.742,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:16:00 PST,+4.06198,+0.0529616,+70.0143,+52.702,+1039.72,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:17:00 PST,+4.06198,+0.0529616,+69.9987,+52.702,+1104.71,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:18:00 PST,+4.06198,+0.0529616,+69.9834,+52.702,+1169.69,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:19:00 PST,+4.06198,+0.0529616,+69.9684,+52.702,+1234.67,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:20:00 PST,+4.06198,+0.0529616,+69.9535,+52.702,+1299.66,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:21:00 PST,+4.06198,+0.0529616,+69.9387,+52.702,+1364.64,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:22:00 PST,+4.06198,+0.0529616,+69.9241,+52.702,+1429.62,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:23:00 PST,+4.06198,+0.0529616,+69.9096,+52.702,+1494.6,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:24:00 PST,+4.06198,+0.0529616,+69.8952,+52.702,+1559.59,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:25:00 PST,+4.06198,+0.0529616,+69.8808,+52.702,+1624.57,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:26:00 PST,+4.06198,+0.0529616,+69.8665,+52.702,+1689.55,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:27:00 PST,+4.06198,+0.0529616,+69.8522,+52.702,+1754.54,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:28:00 PST,+4.06198,+0.0529616,+69.838,+52.702,+1819.52,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:29:00 PST,+4.06198,+0.0529616,+69.8239,+52.702,+1884.5,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:30:00 PST,+4.06198,+0.0529616,+69.8098,+52.702,+1949.48,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:31:00 PST,+4.06198,+0.0529616,+69.7957,+52.702,+2014.47,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:32:00 PST,+4.06198,+0.0529616,+69.7817,+52.702,+2079.45,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:33:00 PST,+4.06198,+0.0529616,+69.7677,+52.702,+2144.43,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:34:00 PST,+4.06198,+0.0529616,+69.7537,+52.702,+2209.41,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:35:00 PST,+4.06198,+0.0529616,+69.7398,+52.702,+2274.4,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:36:00 PST,+4.06198,+0.0529616,+69.7259,+52.702,+2339.38,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:37:00 PST,+4.06198,+0.0529616,+69.7121,+52.702,+2404.36,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:38:00 PST,+4.06198,+0.0529616,+69.6983,+52.702,+2469.35,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:39:00 PST,+4.06198,+0.0529616,+69.6845,+52.702,+2534.33,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:40:00 PST,+4.06198,+0.0529616,+69.6708,+52.702,+2599.31,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:41:00 PST,+4.06198,+0.0529616,+69.6571,+52.702,+2664.29,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:42:00 PST,+4.06198,+0.0529616,+69.6434,+52.702,+2729.28,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:43:00 PST,+4.06198,+0.0529616,+69.6298,+52.702,+2794.26,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:44:00 PST,+4.06198,+0.0529616,+69.6162,+52.702,+2859.24,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:45:00 PST,+4.06198,+0.0529616,+69.6027,+52.702,+2924.23,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:46:00 PST,+4.06198,+0.0529616,+69.5892,+52.702,+2989.21,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:47:00 PST,+4.06198,+0.0529616,+69.5757,+52.702,+3054.19,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:48:00 PST,+4.06198,+0.0529616,+69.5622,+52.702,+3119.17,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:49:00 PST,+4.06198,+0.0529616,+69.5488,+52.702,+3184.16,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:50:00 PST,+4.06198,+0.0529616,+69.5354,+52.702,+3249.14,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:51:00 PST,+4.06198,+0.0529616,+69.5221,+52.702,+3314.12,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:52:00 PST,+4.06198,+0.0529616,+69.5088,+52.702,+3379.1,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:53:00 PST,+4.06198,+0.0529616,+69.4955,+52.702,+3444.09,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:54:00 PST,+4.06198,+0.0529616,+69.4822,+52.702,+3509.07,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:55:00 PST,+4.06198,+0.0529616,+69.469,+52.702,+3574.05,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:56:00 PST,+4.06198,+0.0529616,+69.4559,+52.702,+3639.04,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:57:00 PST,+4.06198,+0.0529616,+69.4427,+52.702,+3704.02,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
2024-07-01 00:58:00 PST,+4.06198,+0.0529616,+69.4296,+52.702,+3769,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028,+0.000671452,+0.00148666
